month,year,cover_url
December,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/December2001.jpg
November,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/November20011.jpg
November,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/November20012.jpg
October,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/October2001.jpg
September,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/September2001.jpg
August,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/August2001.jpg
July,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/July2001.jpg
June,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/June2001.jpg
May,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/May2001.jpg
April,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/April2001.jpg
March,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/March2001.jpg
February,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/February2001.jpg
January,2001,https://www.thrashermagazine.com//images/image/Covers Section/images/January2001.jpg
December,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/December2000.jpg
November,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/November2000.jpg
October,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/October2000.jpg
September,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/September2000.jpg
August,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/August2000.jpg
July,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/July2000.jpg
June,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/June2000.jpg
May,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/May2000.jpg
April,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/April2000.jpg
March,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/March2000.jpg
February,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/February2000.jpg
January,2000,https://www.thrashermagazine.com//images/image/Covers Section/images/January2000.jpg
December,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/December1999.jpg
November,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/November1999.jpg
October,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/October1999.jpg
September,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/September1999.jpg
August,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/August1999.jpg
July,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/July1999.jpg
June,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/June1999.jpg
May,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/May1999.jpg
April,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/April1999.jpg
March,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/March1999.jpg
February,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/February1999.jpg
January,1999,https://www.thrashermagazine.com//images/image/Covers Section/images/January1999.jpg
December,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/December1998.jpg
November,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/November1998.jpg
October,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/October1998.jpg
September,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/September1998.jpg
August,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/August1998.jpg
July,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/July1998.jpg
June,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/June1998.jpg
May,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/May1998.jpg
April,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/April1998.jpg
March,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/March1998.jpg
February,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/February1998.jpg
January,1998,https://www.thrashermagazine.com//images/image/Covers Section/images/January1998.jpg
December,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/December1997.jpg
November,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/November1997.jpg
October,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/October1997.jpg
September,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/September1997.jpg
August,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/August1997.jpg
July,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/July1997.jpg
June,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/June1997.jpg
May,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/May1997.jpg
April,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/April1997.jpg
March,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/March1997.jpg
February,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/February1997.jpg
January,1997,https://www.thrashermagazine.com//images/image/Covers Section/images/January1997.jpg
December,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/December1996.jpg
November,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/November1996.jpg
October,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/October1996.jpg
September,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/September1996.jpg
August,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/August1996.jpg
July,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/July1996.jpg
June,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/June1996.jpg
May,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/May1996.jpg
April,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/April1996.jpg
March,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/March1996.jpg
February,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/February1996.jpg
January,1996,https://www.thrashermagazine.com//images/image/Covers Section/images/January1996.jpg
